,gram,language1,language2,l1,l2,kl,dot_product
796,bigram,Polish,Spanish,1.6191686768301246,0.11247311843879361,0.2032147838637239,0.17940538906463116
797,bigram,Polish,Swedish,1.7976813859911889,0.10868297629123509,0.9930342296818182,0.07644745480597984
798,bigram,Polish,Telugu,1.8420920065173305,0.10892508506229541,0.3780079593157482,0.06410007688883712
799,bigram,Polish,Thai,1.7053203104900043,0.09498388696864053,1.1033927821587792,0.18593918891961073
800,bigram,Polish,Urdu,1.9691933772565227,0.11846272677974098,0.14519656141817508,0.0040107042803417675
801,bigram,Polish,Vietnamese,1.7084256186215885,0.13150597024323815,1.1407511075547014,0.09301193813723294
802,bigram,Polish,Xhosa,1.5448183800791873,0.10011558806540163,0.3950374985838444,0.2995158389016643
803,bigram,Polish,Zulu,1.6698160993749032,0.11207469074144683,0.3469890508652879,0.17368547798045889
804,bigram,Porteguese,Porteguese,0.0,0.0,0.0,1.0000000000000002
805,bigram,Porteguese,Russian,1.6953094627529635,0.10972296259085002,0.20508192330073421,0.16326877669056328
806,bigram,Porteguese,Somali,1.8444037634610622,0.12640466763274633,0.324651361113149,0.04736314437918988
807,bigram,Porteguese,Spanish,1.427238389963461,0.11587473744866747,0.032750983095864,0.2591731605206431
808,bigram,Porteguese,Swedish,1.807495815449501,0.11873455512964723,1.0050583326595512,0.0962005424791342
809,bigram,Porteguese,Telugu,1.913664780210127,0.12265402780590172,0.3957547140084336,0.028378966565754036
810,bigram,Porteguese,Thai,1.829711569751813,0.11303211704015449,0.7221004532242956,0.08227716712954113
811,bigram,Porteguese,Urdu,1.988042199286968,0.12994138206052597,0.15222677581493968,0.0007506223020661154
812,bigram,Porteguese,Vietnamese,1.7531590238771797,0.14169649572076773,0.9839291123733943,0.07725100488074434
813,bigram,Porteguese,Xhosa,1.7332805414940993,0.11828761038342492,0.25556920027321106,0.17677539487421737
814,bigram,Porteguese,Zulu,1.711324795963148,0.12648079547788085,0.47652630536258067,0.10698200005661823
815,bigram,Russian,Russian,0.0,0.0,0.0,1.0
