,gram,language1,language2,l1,l2,kl,rao,dot_product
22,unigram,Malayalam,Telugu,0.9923972198758965,0.2699826219000084,0.30432451784843745,1.254255875265417,0.029995088409442473
23,unigram,Malayalam,Urdu,1.5308139597854815,0.3409266870510222,-0.032547273745248226,1.3770866197721257,0.008417372343463313
24,unigram,Marathi,Marathi,0.0,0.0,0.0,0.0,0.051917356718714815
25,unigram,Marathi,Oriya,1.0685764988886877,0.2873593056450691,0.12251517682502704,1.1409819198404065,0.01910754583429715
26,unigram,Marathi,Punjabi,1.0417336869869014,0.21905601852676687,0.5466986879375543,1.0521043532095566,0.023139857325510625
27,unigram,Marathi,Tamil,1.2281675619934826,0.27852953174247697,0.36107299888716776,1.803666438062093,0.022995409862634552
28,unigram,Marathi,Telugu,0.9562662715167732,0.19979596728106558,0.1274858715590508,1.0524411165677907,0.030605015056811916
29,unigram,Marathi,Urdu,1.4783082877973275,0.2835431945011928,0.3312855713279664,1.1697907216874932,0.01045833659554181
30,unigram,Oriya,Oriya,0.0,0.0,0.0,0.0,0.06887310549069574
31,unigram,Oriya,Punjabi,1.30309019712418,0.2931702359160848,1.3005010392015106,1.7569269247679613,0.01263610772435425
32,unigram,Oriya,Tamil,1.1650113634280268,0.2779107164430711,0.2024816865176117,1.3078518087742455,0.031645451118016206
33,unigram,Oriya,Telugu,1.1461816534652998,0.27831422665771965,0.243198424623112,1.1494931721075043,0.020312699333648414
34,unigram,Oriya,Urdu,1.4572168492931326,0.31172759312188325,0.2288316308864892,0.8857582767760528,0.0105475363987217
35,unigram,Punjabi,Punjabi,0.0,0.0,0.0,0.0,0.042347897185105655
36,unigram,Punjabi,Tamil,1.2843526353493393,0.28091026530392443,0.15818769165711294,1.4705792773756692,0.01754474154561108
37,unigram,Punjabi,Telugu,0.8756308927260539,0.16957004446471557,0.07474089832451675,0.9982626051388834,0.03140249957101282
38,unigram,Punjabi,Urdu,1.3929041595612268,0.26818126652178426,0.005933908477934077,0.6796507107494683,0.009911382546093708
39,unigram,Tamil,Tamil,0.0,0.0,0.0,0.0,0.07165216305923772
40,unigram,Tamil,Telugu,0.9347987128146668,0.22903380594642805,0.4814699719480652,1.0868336555533047,0.03420339036480866
41,unigram,Tamil,Urdu,1.5136732161017579,0.3133304931243209,0.08499660803452608,1.5987833460751426,0.01143611237900885
42,unigram,Telugu,Telugu,0.0,0.0,0.0,0.0,0.04921110193668564
43,unigram,Telugu,Urdu,1.2901170978553462,0.2604505441964737,0.06985686846161147,1.080971555483038,0.015386337792378189
44,unigram,Urdu,Urdu,0.0,0.0,0.0,0.0,0.049396059620310066
45,bigram,Bengali,Bengali,0.0,0.0,0.0,0.0,0.006680352119881191
46,bigram,Bengali,Hindi,1.7424388412421203,0.1052301607090341,0.7948441203397151,2.696988902484068,0.0006174414868011592
47,bigram,Bengali,Malayalam,1.6999052991971373,0.15619086221963763,0.6199207907463185,2.42030349646551,0.0015714724507374612
48,bigram,Bengali,Marathi,1.7740883738544202,0.1085553105548226,0.5234374337702976,2.5023013245207126,0.00037936700533130113
49,bigram,Bengali,Oriya,1.3285317895037223,0.09678820685190992,0.1404140416493628,1.415241838181639,0.004006679512054691
